,country,gdp_cap,gdp_cap_year,population,population_year,old_population,old_population_year,physicians,physicians_year,hosp_beds,hosp_beds_year,health_exp,health_exp_year,health_workers,health_workers_year,ppl_per_hosp_bed,ppl_per_physician,tot_hosp_beds,continent
135,Togo,679.257083602874,2018,7889094.0,2018,2.8694680110882205,2018,0.0487,2015,0.7,2011,38.77137729,2016,,,1428.5714285714287,20533.88090349076,5522365.8,Africa
136,Thailand,7273.563207320921,2018,69428524.0,2018,11.9008931395893,2018,0.8096,2017,2.1,2010,221.91767602,2016,,,476.19047619047615,1235.1778656126482,145799900.4,Asia
137,Tajikistan,826.6215305387041,2018,9100837.0,2018,3.02188755207627,2018,1.7003,2014,4.8,2013,55.69698772,2016,,,208.33333333333334,588.1315062047875,43684017.6,Asia
138,Turkmenistan,6966.63541063077,2018,5850908.0,2018,4.426634461940139,2018,2.2248,2014,7.4,2013,422.84882869,2016,,,135.13513513513513,449.47860481841064,43296719.2,Asia
139,Timor-Leste,2035.5339076888101,2018,1267972.0,2018,4.31649229400603,2018,0.7197,2017,5.9,2010,79.89393546,2016,,,169.4915254237288,1389.467833819647,7481034.800000001,Asia
140,Tonga,4364.01556134949,2018,103197.0,2018,5.95366144364662,2018,0.5223,2013,2.6,2010,203.15022392,2016,,,384.6153846153846,1914.6084625694045,268312.2,Oceania
141,Trinidad and Tobago,17129.9130902577,2018,1389858.0,2018,10.7349535163324,2018,2.6697,2015,3.0,2014,1063.8270624,2016,,,333.3333333333333,374.57392216353895,4169574.0,North America
142,Tunisia,3447.5079097555104,2018,11565204.0,2018,8.315679078988769,2018,1.2722,2016,2.3,2015,256.50184479,2016,,,434.7826086956522,786.039930828486,26599969.2,Africa
143,Turkey,9370.1763438282,2018,82319724.0,2018,8.4832129399716,2018,1.7605,2014,2.7,2013,468.64728125,2016,,,370.3703703703703,568.0204487361545,222263254.8,Asia
144,Tanzania,1050.6752537984598,2018,56318348.0,2018,2.60129917835952,2018,0.0399,2014,0.7,2010,35.49967383,2016,,,1428.5714285714287,25062.65664160401,39422843.599999994,Africa
145,Uganda,642.776744292007,2018,42723139.0,2018,1.9409869204631698,2018,0.0908,2015,0.5,2010,37.60696696,2016,,,2000.0,11013.215859030835,21361569.5,Africa
146,Ukraine,3095.17358053586,2018,44622516.0,2018,16.434686439201602,2018,3.0075,2014,8.8,2013,141.19114781,2016,,,113.63636363636363,332.5020781379884,392678140.8,Europe
147,Uruguay,17277.9701105496,2018,3449299.0,2018,14.8145195308593,2018,5.0499,2017,2.8,2014,1379.09855737,2016,,,357.14285714285717,198.02372324204438,9658037.2,South America
148,United States,62794.5856522398,2018,327167434.0,2018,15.8076540556035,2018,2.5948,2016,2.9,2013,9869.74238174,2016,,,344.82758620689657,385.38615692924304,948785558.6,North America
149,Uzbekistan,1532.37167679684,2018,32955400.0,2018,4.419137878136401,2018,2.3685,2014,4.0,2013,135.11115848,2016,,,250.0,422.2081486172683,131821600.0,Asia
150,St. Vincent and the Grenadines,7361.4009618002,2018,110210.0,2018,9.58978686338024,2018,0.6587,2010,2.6,2014,250.2166125,2016,,,384.6153846153846,1518.1417944436012,286546.0,North America
151,Vietnam,2566.59694958511,2018,95540395.0,2018,7.2749782978793,2018,0.8199,2016,2.6,2014,122.84117394,2016,,,384.6153846153846,1219.6609342602758,248405027.0,Asia
152,"Yemen, Rep.",944.4084993734191,2018,28498687.0,2018,2.87626975604452,2018,0.3104,2014,0.7,2014,72.03946941,2015,0.001,2010,1428.5714285714287,3221.6494845360826,19949080.9,Asia
153,Zambia,1539.9001577990698,2018,17351822.0,2018,2.09967802593266,2018,0.0913,2016,2.0,2010,56.5441821,2016,,,500.0,10952.90251916758,34703644.0,Africa
154,Zimbabwe,2146.99638487707,2018,14439018.0,2018,2.9395236530011295,2018,0.0763,2014,1.7,2011,93.94222513,2016,,,588.2352941176471,13106.15989515072,24546330.599999998,Africa
