,country,gdp_cap,gdp_cap_year,population,population_year,old_population,old_population_year,physicians,physicians_year,hosp_beds,hosp_beds_year,health_exp,health_exp_year,health_workers,health_workers_year,ppl_per_hosp_bed,ppl_per_physician,tot_hosp_beds,continent
87,Libya,7241.70448113024,2018,6678567.0,2018,4.39204025898401,2018,2.1581,2017,3.7,2014,312.57731461,2011,,,270.27027027027026,463.37055743478055,24710697.900000002,Africa
88,Sri Lanka,4102.481350144671,2018,21670000.0,2018,10.4732197537841,2018,0.958,2017,3.6,2012,153.09678414,2016,,,277.77777777777777,1043.8413361169103,78012000.0,Asia
89,Lithuania,19153.4089860651,2018,2789533.0,2018,19.7050331564608,2018,4.337,2016,7.3,2013,987.94931374,2016,,,136.986301369863,230.57412958266085,20363590.9,Europe
90,Luxembourg,116639.88804711,2018,607728.0,2018,14.183154184147199,2018,3.0266,2017,4.8,2015,6271.43758791,2016,,,208.33333333333334,330.40375338663847,2917094.4,Europe
91,Latvia,17860.6171980214,2018,1926542.0,2018,20.0436203206809,2018,3.1946,2016,5.8,2013,874.20357724,2016,,,172.41379310344828,313.02823514681023,11173943.6,Europe
92,Morocco,3237.8833681566603,2018,36029138.0,2018,7.0129048211122,2018,0.7273,2017,1.1,2014,171.4501845,2016,,,909.090909090909,1374.9484394335213,39632051.800000004,Africa
93,Moldova,3227.3121916043,2018,3545883.0,2018,11.469556341351199,2018,3.2002,2015,5.8,2013,171.19013187,2016,,,172.41379310344828,312.4804699706268,20566121.4,Europe
94,Madagascar,527.501285041282,2018,26262368.0,2018,2.98671712579162,2018,0.1812,2014,0.2,2010,24.11914971,2016,,,5000.0,5518.763796909492,5252473.600000001,Africa
95,Mexico,9673.44367360619,2018,126190788.0,2018,7.2236849808719805,2018,2.2478,2016,1.5,2015,461.78664709,2016,,,666.6666666666666,444.87943767239085,189286182.0,North America
96,North Macedonia,6083.71894832148,2018,2082958.0,2018,13.6701813815648,2018,2.8736,2015,4.4,2013,327.84334608,2016,,,227.27272727272725,347.99554565701555,9165015.200000001,Europe
97,Mali,899.659908096615,2018,19077690.0,2018,2.50722975755683,2018,0.1393,2016,0.1,2010,29.7866224,2016,0.006999999999999999,2010,10000.0,7178.750897343862,1907769.0,Africa
98,Malta,30098.2833099975,2018,483530.0,2018,20.3493242997122,2018,3.826,2015,4.7,2014,2327.78190367,2016,,,212.7659574468085,261.3695765812859,2272591.0,Europe
99,Myanmar,1325.9529237064,2018,53708395.0,2018,5.7846419325720895,2018,0.8640000000000001,2017,0.9,2012,62.10872783,2016,0.195,2012,1111.111111111111,1157.4074074074072,48337555.5,Asia
100,Montenegro,8844.23698538056,2018,622345.0,2018,14.9749366447439,2018,2.3337,2015,4.0,2012,531.73230239,2016,,,250.0,428.5040922140807,2489380.0,Europe
101,Mongolia,4121.73243469391,2018,3170208.0,2018,4.083538787262451,2018,2.8866,2016,7.0,2012,140.70820365,2016,0.161,2010,142.85714285714286,346.4283239797686,22191456.0,Asia
